date,weather_code,max_temperature,min_temperature,max_apparent_temperature,min_apparent_temperature,sunset_time,sunrise_time,rain_sum,snowfall_sum
2026-04-01,3,12.6,2.1,8.6,-1.8,17:09:00,04:10:00,0.0,0.0
2026-04-02,3,13.7,2.8,10.5,-0.6,17:10:00,04:08:00,0.0,0.0
2026-04-03,3,13.3,1.4,9.6,-2.0,17:12:00,04:05:00,0.0,0.0
2026-04-04,51,11.6,1.7,8.1,-1.6,17:14:00,04:03:00,0.3,0.0
2026-04-05,61,17.2,2.5,13.5,-0.9,17:16:00,04:01:00,0.0,0.0
2026-04-06,51,10.7,4.9,6.9,-0.0,17:17:00,03:58:00,0.0,0.0
2026-04-07,51,11.4,2.3,6.0,-2.0,17:19:00,03:56:00,0.3,0.0
2026-04-08,3,7.7,1.5,3.8,-2.6,17:21:00,03:54:00,0.0,0.0
2026-04-09,3,5.3,-0.9,0.4,-4.4,17:22:00,03:51:00,0.0,0.0
2026-04-10,71,4.5,-2.2,0.4,-6.0,17:24:00,03:49:00,0.0,0.84
2026-04-11,3,4.2,-2.4,0.3,-6.2,17:26:00,03:47:00,0.0,0.0
2026-04-12,3,9.7,-1.8,5.7,-5.2,17:28:00,03:45:00,0.0,0.0
2026-04-13,53,14.9,4.0,12.1,-0.3,17:29:00,03:43:00,3.0,0.0
2026-04-14,53,18.5,6.6,16.0,3.1,17:31:00,03:40:00,1.2,0.0
2026-04-15,53,20.0,9.1,18.5,7.7,17:33:00,03:38:00,1.2,0.0
2026-04-16,51,15.4,7.0,14.0,3.4,17:34:00,03:36:00,3.2,0.0
