date,weather_code,max_temperature,min_temperature,max_apparent_temperature,min_apparent_temperature,sunset_time,sunrise_time,rain_sum,snowfall_sum
2026-01-22,3,-5.8,-15.8,-10.8,-20.5,15:04:00,06:30:00,0.0,0.0
2026-01-23,71,-5.0,-9.6,-10.1,-15.0,15:06:00,06:29:00,0.0,0.28
2026-01-24,3,-4.9,-7.6,-9.8,-13.0,15:08:00,06:27:00,0.0,0.0
2026-01-25,71,-2.8,-5.6,-7.8,-10.6,15:09:00,06:26:00,0.1,0.21
2026-01-26,53,1.3,-4.1,-1.4,-9.3,15:11:00,06:25:00,1.7,0.0
2026-01-27,71,0.6,-1.5,-2.2,-4.3,15:13:00,06:23:00,0.0,0.07
2026-01-28,73,0.0,-1.4,-3.4,-4.7,15:15:00,06:22:00,0.0,1.82
2026-01-29,3,-0.8,-4.4,-4.5,-9.0,15:17:00,06:20:00,0.0,0.0
2026-01-30,3,-4.3,-11.9,-8.8,-17.7,15:19:00,06:19:00,0.0,0.0
2026-01-31,3,-10.1,-14.4,-15.9,-20.0,15:20:00,06:17:00,0.0,0.0
2026-02-01,3,-11.1,-17.8,-16.3,-23.4,15:22:00,06:16:00,0.0,0.0
2026-02-02,3,-10.8,-20.5,-16.3,-25.8,15:24:00,06:14:00,0.0,0.0
2026-02-03,3,-9.5,-18.6,-14.5,-23.4,15:26:00,06:12:00,0.0,0.0
2026-02-04,73,-7.9,-10.6,-12.9,-16.3,15:28:00,06:11:00,0.6,0.98
2026-02-05,51,-0.2,-7.6,-4.4,-12.5,15:30:00,06:09:00,0.4,0.0
2026-02-06,3,2.8,-1.0,-0.7,-5.1,15:32:00,06:07:00,0.0,0.0
2026-02-07,51,1.6,-0.2,-1.4,-3.6,15:34:00,06:05:00,0.2,0.0
2026-02-08,71,-0.4,-5.4,-3.9,-10.7,15:35:00,06:04:00,0.4,0.77
2026-02-09,3,-4.2,-10.1,-9.5,-15.2,15:37:00,06:02:00,0.0,0.0
2026-02-10,51,0.1,-10.8,-3.6,-15.6,15:39:00,06:00:00,0.7,0.0
2026-02-11,3,5.1,-1.2,1.3,-5.6,15:41:00,05:58:00,0.0,0.0
2026-02-12,53,5.0,1.4,2.4,-1.9,15:43:00,05:56:00,1.1,0.0
2026-02-13,51,5.0,0.5,1.8,-3.8,15:45:00,05:55:00,1.0,0.0
